prob,cell_id
0.04,1046714
0.04,1046715
0.04,1046716
0.04,1050330
0.04,1050331
0.04,1050332
0.04,1053946
0.04,1053947
0.04,1053948
0.04,1057563
0.04,1057564
0.04,1057565
0.04,1061179
0.04,1061180
0.04,1061181
0.05,1064796
0.05,1064797
0.05,1064798
0.05,1068412
0.05,1068413
0.05,1068414
0.05,1068415
0.05,1072030
0.05,1072031
0.05,1075646
0.05,1075647
0.05,1075648
0.05,1079261
0.05,1079262
0.05,1079263
0.05,1079264
0.04,1079265
0.04,1079266
0.04,1079267
0.06,1090106
0.06,1093721
0.06,1093722
0.06,1097337
0.06,1097338
0.06,1097339
0.12,1082877
0.12,1086492
0.12,1086493
0.12,1090107
0.12,1090108
0.12,1090109
0.12,1090110
0.12,1093723
0.12,1093724
0.12,1093725
0.12,1093726
0.12,1097340
0.12,1097341
0.12,1097342
0.12,1097343
0.12,1082878
0.12,1082879
0.12,1082880
0.12,1086494
0.12,1086495
0.12,1086496
0.12,1086497
0.12,1090111
0.12,1090112
0.12,1090113
0.12,1093727
0.12,1093728
0.12,1093729
0.12,1093730
0.12,1097344
0.12,1097345
0.12,1097346
0.1,1082881
0.1,1082882
0.1,1082883
0.1,1082884
0.1,1086498
0.1,1086499
0.1,1086500
0.1,1090114
0.1,1090115
0.1,1093731
0.1,1097347
0.1,1097348
0.42,1104559
0.42,1104560
0.42,1108174
0.42,1108175
0.42,1108176
0.42,1108177
0.42,1111791
0.42,1111792
0.42,1115407
0.42,1115408
0.38,1100946
0.38,1100947
0.38,1100948
0.38,1104561
0.38,1104562
0.38,1104563
0.38,1104564
0.38,1108178
0.38,1108179
0.25,1100949
0.25,1100950
0.25,1100951
0.25,1104565
0.25,1104566
0.25,1104567
0.25,1104568
0.25,1108184
0.25,1111798
0.25,1111799
0.25,1111800
0.25,1111801
0.25,1115414
0.25,1115415
0.25,1115416
0.25,1115417
0.07,1100952
0.07,1100953
0.07,1100954
0.07,1100955
0.07,1104569
0.07,1104570
0.07,1104571
0.07,1104572
0.07,1108185
0.07,1108186
0.07,1108187
0.07,1111802
0.07,1111803
0.07,1115418
0.07,1115419
0.31,1100961
0.31,1100962
0.31,1100963
0.31,1104576
0.31,1104577
0.31,1104578
0.31,1104579
0.31,1108193
0.31,1108194
0.31,1108195
0.31,1108196
0.31,1111809
0.31,1111810
0.31,1111811
0.31,1111812
0.31,1115427
0.31,1115428
0.21,1100964
0.21,1100965
0.21,1104580
0.21,1104581
0.21,1115429
0.23,1119019
0.23,1122635
0.23,1126250
0.23,1126251
0.23,1129865
0.23,1129866
0.23,1129867
0.23,1129868
0.23,1133482
0.23,1133483
0.23,1133484
0.39,1119020
0.39,1119021
0.39,1119022
0.39,1122636
0.39,1122637
0.39,1126252
0.39,1126253
0.39,1126254
0.39,1129869
0.39,1129870
0.39,1129871
0.39,1133486
0.39,1133487
0.39,1133488
0.41,1126258
0.39,1119028
0.39,1119030
0.39,1122644
0.39,1122645
0.39,1122646
0.39,1126260
0.39,1126261
0.39,1126263
0.39,1133496
0.29,1119031
0.29,1119032
0.29,1119033
0.29,1119034
0.29,1122647
0.29,1122648
0.29,1122649
0.29,1122650
0.29,1126264
0.29,1126265
0.29,1126266
0.29,1126267
0.29,1129880
0.29,1129881
0.29,1129882
0.29,1133497
0.29,1133498
0.29,1133499
0.42,1122657
0.42,1122658
0.42,1126273
0.42,1126274
0.42,1129890
0.42,1129891
0.42,1133505
0.42,1133506
0.42,1133507
0.4,1119042
0.4,1119043
0.4,1119044
0.4,1119045
0.4,1122659
0.4,1122660
0.4,1122661
0.4,1126275
0.4,1126276
0.4,1126277
0.4,1126278
0.4,1129892
0.4,1129893
0.4,1129894
0.4,1133508
0.34,1119046
0.34,1122662
0.34,1126279
0.34,1129895
0.34,1129896
0.03,1147932
0.03,1147933
0.03,1147934
0.03,1147935
0.03,1151549
0.03,1151550
0.03,1151551
0.03,1155165
0.03,1155166
0.03,1155167
0.03,1155168
0.11,1144320
0.11,1147936
0.11,1147937
0.11,1147938
0.11,1147939
0.11,1151552
0.11,1151553
0.11,1151554
0.11,1151555
0.11,1155169
0.21,1144323
0.21,1144324
0.21,1144325
0.21,1144326
0.21,1147940
0.21,1147941
0.21,1147942
0.21,1151556
0.21,1151557
0.21,1151558
0.21,1151559
0.21,1155173
0.21,1155174
0.21,1155175
0.25,1137098
0.25,1137099
0.25,1137100
0.25,1140714
0.25,1140717
0.25,1144334
0.38,1137102
0.38,1137103
0.38,1140718
0.37,1137112
0.37,1140728
0.37,1140729
0.37,1144344
0.37,1144345
0.37,1147960
0.37,1147961
0.37,1151576
0.37,1151577
0.37,1151578
0.37,1155192
0.37,1155193
0.37,1155194
0.51,1144353
0.51,1147969
0.51,1151584
0.51,1151585
0.51,1155200
0.51,1155201
0.51,1155202
0.53,1137121
0.53,1137122
0.53,1137123
0.53,1140737
0.53,1140738
0.53,1140739
0.53,1144354
0.53,1144355
0.53,1147970
0.53,1147971
0.53,1147972
0.53,1147973
0.53,1151586
0.53,1151587
0.53,1151588
0.53,1151589
0.53,1155203
0.53,1155204
0.53,1155205
0.53,1155206
0.58,1144357
0.58,1144358
0.58,1144359
0.58,1147974
0.58,1147975
0.58,1147976
0.58,1151590
0.58,1151591
0.58,1151592
0.58,1151593
0.58,1155207
0.58,1155208
0.58,1155209
0.58,1155210
0.56,1155211
0.03,1158781
0.03,1158782
0.42,1158807
0.42,1162423
0.42,1166039
0.42,1166040
0.42,1169655
0.42,1169656
0.42,1173271
0.42,1173272
0.42,1173273
0.61,1158817
0.61,1158818
0.61,1162432
0.61,1162433
0.61,1162434
0.61,1162435
0.61,1166049
0.61,1166050
0.61,1166051
0.61,1169666
0.61,1169667
0.61,1173282
0.61,1173283
0.66,1158824
0.66,1158825
0.66,1158826
0.66,1162440
0.66,1162441
0.66,1162442
0.66,1162443
0.66,1166056
0.66,1166057
0.66,1166058
0.66,1169673
0.66,1169674
0.66,1169675
0.66,1173289
0.66,1173290
0.66,1173291
0.66,1173292
0.68,1158827
0.68,1158828
0.68,1162444
0.68,1169676
0.68,1169677
0.68,1169678
0.68,1173293
0.68,1173294
0.68,1173295
0.68,1173296
0.66,1166066
0.66,1166067
0.66,1169680
0.66,1169681
0.66,1169682
0.66,1169683
0.66,1173297
0.66,1173298
0.66,1173299
0.66,1173300
0.68,1162452
0.68,1162453
0.68,1162454
0.68,1166068
0.68,1166069
0.68,1166070
0.68,1169684
0.68,1169685
0.68,1169686
0.68,1169687
0.68,1173301
0.68,1173302
0.68,1173303
0.74,1162455
0.74,1166071
0.74,1166072
0.74,1169688
0.74,1169689
0.74,1173304
0.74,1173305
0.74,1173306
0.74,1173307
0.8,1166077
0.04,1191329
0.04,1191330
0.43,1187735
0.43,1191348
0.43,1191349
0.43,1191350
0.43,1191351
0.41,1176886
0.41,1176887
0.41,1176888
0.41,1176889
0.41,1180503
0.41,1180504
0.41,1180505
0.41,1184119
0.41,1184120
0.41,1184121
0.41,1184122
0.41,1187736
0.41,1187737
0.41,1187738
0.41,1187739
0.41,1191352
0.41,1191353
0.41,1191354
0.41,1191355
0.81,1180541
0.81,1180542
0.81,1184158
0.81,1184159
0.81,1187774
0.81,1187775
0.81,1191391
0.06,1194946
0.41,1194963
0.41,1194964
0.41,1198580
0.41,1202195
0.41,1202196
0.41,1202197
0.41,1205812
0.41,1205813
0.41,1209428
0.41,1209429
0.41,1209430
0.34,1194965
0.34,1194966
0.34,1194967
0.34,1194968
0.34,1198581
0.34,1198582
0.34,1198583
0.34,1198584
0.34,1202198
0.34,1202199
0.34,1202200
0.34,1202201
0.34,1205814
0.34,1205815
0.34,1205816
0.34,1205817
0.34,1209431
0.34,1209432
0.34,1209433
0.82,1195007
0.82,1202242
0.82,1202243
0.82,1205857
0.82,1205858
0.82,1205859
0.82,1205860
0.82,1209473
0.82,1209474
0.82,1209475
0.82,1209476
0.91,1209477
0.37,1213044
0.37,1213045
0.37,1213046
0.37,1216661
0.37,1216662
0.37,1216663
0.37,1223895
0.37,1223896
0.37,1227510
0.37,1227511
0.37,1227512
0.37,1231126
0.37,1231127
0.37,1231128
0.33,1213047
0.33,1213048
0.33,1213049
0.33,1213050
0.33,1216664
0.33,1216665
0.33,1216666
0.33,1220280
0.33,1220281
0.33,1220282
0.33,1223897
0.33,1223898
0.33,1227513
0.88,1213090
0.88,1213091
0.88,1213093
0.88,1216707
0.88,1216708
0.88,1216709
0.88,1220323
0.88,1220324
0.88,1220325
0.88,1220326
0.88,1223939
0.88,1223940
0.88,1223941
0.88,1223942
0.88,1227556
0.88,1227557
0.88,1227558
0.88,1227559
0.88,1231172
0.88,1231173
0.88,1231174
0.88,1231175
0.9,1213094
0.9,1216710
0.9,1223943
0.9,1223944
0.9,1227560
0.9,1227561
0.9,1231176
0.9,1231177
0.9,1231178
0.25,1238358
0.43,1234742
0.43,1234743
0.43,1238359
0.43,1241975
0.43,1241976
0.43,1245592
0.43,1245593
0.43,1249209
0.43,1249210
0.43,1249211
0.51,1245597
0.51,1245598
0.51,1249212
0.51,1249213
0.51,1249214
0.51,1249215
0.61,1241983
0.61,1241984
0.61,1245599
0.61,1245600
0.61,1245601
0.61,1245602
0.61,1249216
0.61,1249217
0.7,1245603
0.7,1245604
0.7,1245605
0.7,1245606
0.7,1249220
0.7,1249221
0.7,1249222
0.7,1249223
0.78,1245607
0.78,1245608
0.78,1245609
0.78,1249224
0.78,1249225
0.78,1249226
0.78,1249227
0.84,1245612
0.84,1245613
0.84,1245614
0.84,1249228
0.84,1249229
0.84,1249230
0.88,1238384
0.88,1241999
0.88,1242000
0.88,1242001
0.88,1245615
0.88,1245616
0.88,1245617
0.88,1245618
0.88,1249231
0.88,1249232
0.88,1249233
0.88,1249234
0.81,1242006
0.81,1242007
0.81,1242009
0.81,1245623
0.81,1245624
0.81,1245625
0.81,1245626
0.81,1249239
0.81,1249240
0.81,1249241
0.81,1249242
0.8,1242010
0.8,1245627
0.8,1245628
0.8,1245629
0.8,1249243
0.8,1249244
0.8,1249246
0.7,1234782
0.7,1234783
0.7,1238399
0.7,1238400
0.7,1238401
0.7,1242015
0.7,1242016
0.7,1242017
0.7,1245631
0.7,1245632
0.7,1245633
0.7,1245634
0.7,1249247
0.7,1249248
0.7,1249249
0.7,1249250
0.82,1234786
0.82,1234787
0.82,1234788
0.82,1238402
0.82,1238403
0.82,1238404
0.82,1242018
0.82,1242019
0.82,1242020
0.82,1242021
0.82,1245635
0.82,1245636
0.82,1245637
0.82,1249251
0.82,1249252
0.82,1249253
0.82,1249254
0.89,1234789
0.89,1234790
0.89,1234792
0.89,1238405
0.89,1238406
0.89,1238408
0.89,1242022
0.89,1242024
0.89,1242025
0.89,1245638
0.89,1245640
0.89,1245641
0.89,1249256
0.89,1249257
0.89,1249258
0.9,1234793
0.9,1238409
0.9,1238410
0.9,1238411
0.9,1242026
0.9,1242027
0.9,1242028
0.9,1245642
0.9,1245643
0.9,1245644
0.9,1245645
0.9,1249259
0.9,1249260
0.9,1249261
0.9,1249262
0.89,1252840
0.89,1252841
0.89,1252842
0.91,1252845
0.91,1252846
0.91,1267313
0.9,1252849
0.9,1252850
0.9,1252851
0.9,1260084
0.9,1263697
0.9,1263698
0.9,1263699
0.9,1267314
0.9,1267315
0.9,1267316
0.9,1267317
0.88,1252852
0.88,1252853
0.88,1252854
0.88,1252855
0.88,1256468
0.88,1256469
0.88,1256470
0.88,1256471
0.88,1260085
0.88,1260086
0.88,1260088
0.88,1263702
0.88,1263703
0.88,1263704
0.88,1267318
0.88,1267319
0.88,1267320
0.88,1267321
0.88,1252856
0.88,1252857
0.88,1252858
0.88,1252859
0.88,1256472
0.88,1256473
0.88,1256474
0.88,1260089
0.88,1260090
0.88,1260092
0.88,1263705
0.88,1263706
0.88,1263708
0.88,1267324
0.88,1267325
0.88,1252860
0.88,1252861
0.88,1252862
0.88,1252863
0.88,1256476
0.88,1256477
0.88,1256478
0.88,1256479
0.88,1260093
0.88,1260094
0.88,1260095
0.88,1260096
0.88,1263709
0.88,1263710
0.88,1263711
0.88,1267326
0.81,1252864
0.81,1252865
0.81,1252866
0.81,1252867
0.81,1256480
0.81,1256481
0.81,1256482
0.81,1256483
0.81,1260099
0.81,1260100
0.81,1263715
0.81,1263716
0.81,1267331
0.81,1267332
0.81,1267333
0.94,1252875
0.94,1252877
0.94,1252878
0.94,1256493
0.94,1256494
0.94,1256495
0.94,1260109
0.94,1260110
0.94,1260111
0.94,1263726
0.94,1263727
0.94,1267342
0.94,1267343
0.95,1252879
0.88,1285390
0.88,1285391
0.88,1285392
0.88,1289006
0.88,1289007
0.88,1289008
0.92,1274546
0.92,1278163
0.92,1281779
0.92,1285393
0.92,1285394
0.92,1285395
0.92,1289009
0.92,1289010
0.92,1289011
0.93,1270930
0.93,1270931
0.93,1270932
0.93,1270933
0.93,1274547
0.93,1274548
0.93,1274549
0.93,1274550
0.93,1278164
0.93,1278165
0.93,1278166
0.93,1281780
0.93,1281781
0.93,1281782
0.93,1281783
0.93,1285397
0.93,1285398
0.91,1270934
0.91,1270935
0.91,1274551
0.91,1274552
0.91,1274553
0.91,1274554
0.91,1278168
0.91,1278169
0.91,1278170
0.92,1270940
0.92,1270941
0.92,1274555
0.92,1274556
0.92,1274557
0.92,1274558
0.92,1278171
0.92,1278172
0.92,1278173
0.97,1270942
0.96,1270947
0.96,1270948
0.96,1270949
0.96,1274564
0.96,1274565
0.96,1278180
0.96,1278181
0.96,1278182
0.96,1281797
0.96,1281798
0.96,1281799
0.96,1285415
0.96,1289031
0.96,1289032
0.9,1270951
0.9,1270952
0.9,1270953
0.9,1274567
0.9,1274568
0.9,1274569
0.9,1274570
0.9,1278183
0.9,1278184
0.9,1278185
0.9,1278186
0.9,1281800
0.9,1281801
0.9,1281802
0.9,1281803
0.9,1285416
0.9,1285417
0.9,1285418
0.9,1285419
0.9,1289033
0.9,1289034
0.9,1289035
0.9,1289036
0.97,1270958
0.97,1270959
0.97,1270960
0.97,1274575
0.97,1274576
0.97,1278191
0.97,1278192
0.97,1281808
0.97,1285424
0.97,1285425
0.97,1289041
0.04,1303455
0.04,1303456
0.04,1307072
0.55,1303463
0.91,1292622
0.91,1292623
0.91,1292624
0.91,1292625
0.91,1296240
0.91,1296241
0.91,1299857
0.91,1299858
0.91,1303474
0.95,1292626
0.95,1292627
0.95,1292628
0.95,1292629
0.95,1296242
0.95,1296243
0.95,1296244
0.95,1296245
0.95,1299859
0.95,1299860
0.95,1299861
0.95,1299862
0.95,1303475
0.95,1303476
0.95,1303477
0.95,1303478
0.95,1307092
0.95,1307093
0.95,1307094
0.95,1307095
0.96,1299863
0.96,1299864
0.96,1299865
0.96,1303479
0.96,1303480
0.96,1303481
0.96,1307096
0.96,1307097
0.96,1307098
0.96,1307099
0.95,1299867
0.95,1299868
0.95,1303484
0.95,1303485
0.95,1307103
1,1292648
1,1292653
1,1292654
1,1292655
1,1292656
0.41,1296286
0.59,1292674
0.59,1292675
0.59,1292676
0.59,1296291
0.23,1310688
0.23,1310689
0.23,1310690
0.23,1314305
0.47,1314312
0.66,1328779
1,1310709
1,1310710
1,1310711
1,1314325
1,1314326
1,1314327
1,1314328
1,1317943
1,1317944
1,1321560
1,1321561
1,1310712
1,1310713
1,1310714
1,1310715
1,1314329
1,1314330
1,1314331
