prob,cell_id
0.01,1318506
0.01,1318507
0.01,1322123
0.01,1322124
0.01,1325740
0.01,1325741
0.01,1325742
0.01,1329357
0.01,1329358
0.09,1332970
0.09,1332971
0.09,1332972
0.09,1332973
0.09,1336587
0.09,1336588
0.09,1336589
0.09,1336590
0.09,1340204
0.09,1340205
0.09,1340206
0.09,1340207
0.09,1343821
0.09,1343822
0.09,1343823
0.09,1343824
0.09,1343825
0.09,1347439
0.09,1347440
0.09,1347441
0.09,1347442
0.67,1332974
0.67,1336591
0.67,1336592
0.67,1340208
0.67,1340209
0.67,1343826
0.67,1343827
0.67,1347443
0.67,1347444
0.75,1336597
0.75,1336598
0.75,1340214
0.75,1340215
0.75,1343831
0.75,1343832
0.75,1343833
0.75,1347447
0.75,1347448
0.75,1347449
0.75,1347450
0.77,1336599
0.77,1340216
0.77,1340217
0.77,1343834
0.77,1343835
0.77,1343836
0.77,1347451
0.77,1347452
0.77,1347453
0.58,1351056
0.58,1351057
0.58,1351058
0.58,1351059
0.58,1354673
0.58,1354674
0.58,1354675
0.58,1354676
0.58,1358290
0.58,1358291
0.58,1358292
0.58,1358293
0.58,1361907
0.58,1361908
0.58,1361909
0.58,1361910
0.58,1365524
0.58,1365525
0.58,1365526
0.58,1365527
1,1351060
1,1351061
1,1351062
1,1354677
1,1354678
1,1354679
1,1354680
1,1358294
1,1358295
1,1358296
1,1358297
1,1361911
1,1361912
1,1361913
1,1361914
1,1365528
1,1365529
1,1365530
1,1365531
1,1351064
1,1351065
1,1351066
1,1351067
1,1354681
1,1354682
1,1354683
1,1354684
1,1358298
1,1358299
1,1358300
1,1358301
1,1361915
1,1361916
1,1361917
1,1361918
1,1365532
1,1365533
1,1365534
1,1365535
0.95,1351068
0.95,1351069
0.95,1351070
0.95,1351071
0.95,1354685
0.95,1354686
0.95,1354687
0.95,1354688
0.95,1358302
0.95,1358303
0.95,1358304
0.95,1358305
0.95,1361919
0.95,1361920
0.95,1361921
0.95,1361922
0.95,1365536
0.95,1365537
0.95,1365538
0.95,1365539
1,1376338
1,1379954
1,1379955
1,1383570
1,1383571
1,1383572
1,1387187
1,1387188
0.93,1372722
0.93,1372723
0.93,1372724
0.93,1372725
0.93,1376339
0.93,1376340
0.93,1376341
0.93,1376342
0.93,1379956
0.94,1372726
0.94,1376343
0.94,1376344
0.94,1376345
0.94,1376346
0.94,1379961
0.94,1379962
0.94,1379963
0.94,1383580
0.68,1379964
0.68,1383581
0.68,1383582
0.68,1383583
0.68,1383584
0.68,1387199
0.68,1387200
0.68,1387201
1,1369141
1,1369142
1,1369143
1,1369144
1,1372758
1,1372759
1,1372760
1,1372761
1,1376375
1,1376376
1,1376377
1,1376378
1,1379993
1,1379994
1,1379995
1,1379996
1,1383610
1,1383611
1,1383612
1,1387227
1,1387228
1,1387229
1,1369145
1,1369146
1,1369147
1,1369148
1,1372762
1,1372763
1,1372764
1,1372765
1,1376379
1,1376380
1,1376381
1,1376382
1,1376383
1,1380000
1,1369149
1,1369150
1,1369151
1,1369152
1,1372766
1,1372767
1,1372768
1,1372769
1,1372770
1,1376384
1,1376385
1,1376386
1,1376387
1,1369153
1,1369154
1,1369155
1,1369156
1,1372771
1,1372772
1,1372773
1,1372774
1,1376388
1,1376389
1,1376390
1,1376391
1,1380005
1,1380006
1,1380007
1,1380008
1,1383623
1,1383624
1,1383625
1,1387241
1,1387242
1,1369157
1,1369158
1,1372775
1,1372776
1,1372777
1,1376392
1,1376393
1,1376394
1,1376395
1,1380009
1,1380010
1,1380011
1,1383626
1,1383627
1,1383628
1,1387243
1,1387244
1,1387245
1,1387246
1,1405262
1,1398031
1,1398032
1,1401647
1,1401648
1,1401649
1,1405263
1,1405264
1,1405265
0.99,1394418
0.99,1394419
0.99,1398033
0.99,1398034
0.99,1398035
0.99,1398036
1,1390803
1,1390804
1,1394420
1,1394421
1,1390817
1,1390818
1,1394435
1,1401670
1,1405287
1,1390819
1,1390820
1,1390821
1,1394436
1,1394437
1,1394438
1,1398053
1,1398054
1,1398055
1,1401671
1,1401672
1,1405288
1,1405289
1,1405290
0.02,1390841
0.02,1390842
0.02,1390843
0.02,1394460
1,1390844
1,1390845
1,1390846
1,1390847
1,1394461
1,1394462
1,1394463
1,1394464
1,1398078
1,1398079
1,1398080
1,1398081
1,1401697
1,1401698
1,1394465
1,1394466
1,1398082
1,1398083
1,1398084
1,1401699
1,1401700
1,1401701
1,1401702
1,1405316
1,1405317
1,1405318
1,1405319
1,1390859
1,1390860
1,1390861
1,1390862
1,1390863
1,1394477
1,1394478
1,1394479
1,1394480
1,1398096
1,1398097
1,1401715
1,1390864
1,1394481
1,1394482
1,1398098
1,1398099
1,1398100
1,1398101
1,1401716
1,1401717
1,1401718
1,1401719
1,1405333
1,1405334
1,1405335
1,1405336
0.33,1405339
0.33,1405340
0.47,1416083
0.47,1416084
0.47,1419699
0.47,1419700
0.47,1419701
0.47,1423316
0.47,1423317
0.47,1423318
0.47,1426932
0.47,1426933
0.47,1426934
0.47,1426935
0.59,1408853
0.59,1408854
0.59,1412469
0.59,1412470
0.59,1412471
0.59,1416085
0.59,1416086
0.59,1416087
0.59,1416088
0.59,1416089
0.59,1419702
0.59,1419703
0.59,1419704
0.59,1419705
0.59,1419706
0.59,1423319
0.59,1423320
0.59,1423321
0.59,1426936
0.73,1419719
0.73,1419720
0.73,1423336
0.73,1423337
0.73,1423338
0.73,1423339
0.73,1426953
0.73,1426954
0.73,1426955
0.73,1426956
1,1423340
1,1423341
1,1423342
1,1423343
1,1426957
1,1426958
1,1426959
1,1426960
0.97,1408879
0.97,1412494
0.97,1412495
0.97,1412496
0.97,1416110
0.97,1416111
0.97,1416112
0.97,1419727
0.97,1419728
0.97,1419729
0.97,1423344
0.97,1423345
0.97,1423346
0.97,1426961
0.94,1426984
0.94,1426985
0.96,1408904
0.96,1423370
0.96,1423371
0.96,1423372
0.96,1426986
0.96,1426987
0.96,1426988
0.96,1426989
1,1408905
1,1408906
1,1408907
1,1412523
1,1412524
1,1412525
1,1416141
1,1416142
1,1419758
1,1419759
1,1423376
1,1426993
0.92,1416143
0.92,1419760
0.92,1423377
0.92,1426994
1,1408934
1,1408935
1,1408936
1,1408937
1,1412551
1,1412552
1,1412553
1,1412554
1,1416169
1,1416170
1,1416171
1,1419786
1,1419787
1,1419788
1,1423404
1,1423405
1,1427021
1,1427022
1,1416172
1,1419789
1,1423406
1,1427023
1,1427024
0.97,1408952
0.97,1408953
0.97,1427037
0.97,1427039
0.85,1408954
0.85,1408955
0.85,1408956
0.85,1408957
0.85,1412571
0.85,1412572
0.85,1412573
0.85,1412574
0.85,1416189
0.85,1416190
0.85,1416191
0.85,1419807
0.85,1419808
0.85,1423422
0.85,1423423
0.85,1423424
0.85,1423425
0.85,1423426
0.85,1427040
0.85,1427041
0.85,1427042
0.85,1427043
0.79,1408958
0.79,1408959
0.79,1412575
0.79,1412576
0.79,1412577
0.79,1412578
0.79,1416192
0.79,1416193
0.79,1416194
0.79,1416195
0.79,1419809
0.79,1419810
0.79,1419811
0.79,1419812
0.79,1419813
0.79,1423427
0.79,1423428
0.79,1423429
0.79,1423430
0.79,1427044
0.79,1427045
0.79,1427046
0.79,1427047
1,1416196
1,1419814
1,1419815
1,1423431
1,1423432
1,1423433
1,1427048
1,1427049
1,1427050
1,1427051
0.57,1430549
0.57,1430550
0.57,1430551
0.57,1430552
0.57,1434166
0.57,1434167
0.57,1434168
0.57,1437783
0.57,1437784
0.57,1437785
0.57,1441400
0.57,1441401
0.57,1445017
0.57,1445018
0.57,1445019
0.57,1445020
1,1430575
1,1430576
1,1430577
1,1441447
1,1441448
1,1441449
1,1445064
1,1445065
1,1430601
1,1430602
1,1434218
1,1434219
1,1437833
1,1437834
1,1437835
1,1437836
1,1441450
1,1441452
1,1441453
1,1430603
1,1430605
1,1430606
1,1434220
1,1434223
1,1437837
1,1437840
1,1441454
1,1445071
1,1445072
0.92,1430610
0.92,1434224
0.92,1434225
0.92,1434226
0.92,1434227
0.92,1437841
0.92,1437842
0.92,1437843
0.92,1437844
0.92,1441458
0.92,1441459
0.92,1441460
0.92,1441461
0.92,1441462
0.92,1445075
0.92,1445076
1,1430611
1,1430612
1,1430613
1,1434228
1,1434229
1,1434230
1,1437845
1,1437846
1,1437847
1,1437848
1,1437849
1,1441465
1,1441466
1,1445083
1,1441467
1,1445084
1,1445085
0.67,1430639
0.67,1434256
0.67,1437873
0.67,1441491
1,1430640
1,1430641
1,1434257
1,1434258
1,1437874
1,1437875
1,1437876
1,1441492
1,1441493
1,1445109
1,1445110
1,1445111
1,1430656
0.87,1430657
0.87,1430658
0.78,1430661
0.78,1430662
0.78,1430663
0.78,1430664
0.78,1434278
0.78,1434279
0.78,1434280
0.78,1434281
0.78,1437895
0.78,1437897
0.78,1437898
0.78,1441514
0.78,1441515
0.75,1430665
0.75,1430666
0.75,1430667
0.75,1430668
0.75,1434282
0.75,1434283
0.75,1434284
0.75,1434285
0.75,1437899
0.75,1437901
0.75,1437902
0.75,1441519
0.75,1430669
0.75,1430670
0.75,1434286
0.75,1434287
0.75,1434288
0.75,1434289
0.75,1437903
0.75,1437904
0.75,1437905
0.75,1437906
0.75,1441520
0.75,1441521
0.75,1441522
0.75,1441523
0.75,1441524
0.75,1445141
1,1437907
1,1441525
1,1441526
1,1445142
1,1445143
1,1445144
0.78,1448635
0.78,1448636
0.78,1448637
0.78,1452252
0.78,1452253
0.78,1452254
0.78,1455870
0.78,1455871
0.78,1459486
0.78,1459487
0.78,1459488
0.78,1463103
0.78,1463104
0.78,1466721
0.78,1466722
1,1448680
1,1448681
1,1452297
1,1452298
1,1455914
1,1455915
1,1459531
1,1459532
1,1463148
1,1463149
1,1463150
1,1466765
1,1466766
1,1466767
0.24,1455922
0.24,1463156
0.24,1466773
0.94,1448688
0.94,1448689
0.94,1448692
0.94,1452305
0.94,1452306
0.94,1455923
0.94,1459540
0.94,1463157
0.94,1466774
0.91,1448693
0.91,1452310
0.91,1452311
0.91,1452312
0.91,1455928
0.91,1455929
0.92,1452316
0.92,1452317
0.92,1455933
0.92,1455934
1,1448701
1,1448702
1,1452318
1,1452319
1,1452320
1,1452321
1,1455935
1,1455936
1,1455938
1,1459553
1,1459555
1,1452322
1,1455939
1,1455940
1,1459556
1,1459557
1,1459558
1,1463174
1,1463175
1,1466792
1,1466793
1,1466794
1,1448727
1,1448728
1,1448729
1,1452345
1,1452346
1,1455963
1,1448730
1,1452347
1,1452348
1,1455964
1,1455965
1,1455966
1,1455967
1,1459581
1,1459582
1,1459583
1,1459584
1,1463200
1,1463201
1,1466817
1,1466818
1,1466819
1,1463202
1,1463206
1,1466820
1,1466821
1,1466822
1,1466823
1,1455974
1,1459591
1,1466824
1,1466825
1,1466826
1,1466827
1,1452361
1,1466828
1,1466829
0.74,1448760
0.74,1448761
0.74,1448762
0.74,1452378
0.74,1452379
0.9,1448763
0.9,1448764
0.9,1452380
0.9,1452381
0.9,1455997
0.9,1455998
0.9,1455999
0.9,1456000
0.9,1459616
0.9,1459617
0.9,1459618
0.9,1463234
0.9,1463235
0.9,1466852
1,1463236
1,1466853
1,1466854
0.62,1484800
1,1477570
1,1481185
1,1481186
1,1481187
1,1484801
1,1484802
1,1484803
1,1470338
1,1470339
1,1473954
1,1473955
1,1477571
1,1477572
1,1470382
1,1470383
1,1470384
1,1474000
1,1474001
1,1477617
1,1477618
1,1481234
1,1481235
1,1481236
1,1481237
1,1484852
1,1484853
1,1470390
1,1474007
1,1477624
1,1481240
1,1481241
1,1484857
1,1484858
0.93,1470391
1,1470410
1,1470411
1,1474028
1,1470412
1,1474029
1,1474030
1,1477647
1,1477648
1,1481264
1,1481265
1,1481266
1,1484882
1,1484883
1,1484884
1,1470437
1,1470438
1,1470439
1,1470440
1,1470441
1,1470442
1,1470443
1,1470444
1,1481295
1,1484912
1,1484913
1,1470445
1,1470446
1,1470447
1,1474063
1,1474064
1,1474065
1,1477680
1,1477681
1,1477682
1,1481296
1,1481297
1,1481298
1,1481299
1,1484914
1,1484915
1,1484916
1,1484917
0.76,1470469
0.55,1470470
0.55,1470471
0.55,1470472
0.55,1474088
0.55,1474089
0.55,1474090
0.55,1477707
0.55,1477708
0.55,1481324
0.55,1481325
0.55,1484941
0.55,1484942
0.67,1474091
0.67,1474092
0.67,1477709
0.67,1481326
0.67,1484943
0.09,1506489
0.4,1502874
0.4,1502875
0.4,1502876
0.4,1506490
0.4,1506491
0.4,1506492
1,1499260
1,1499261
1,1499262
1,1499263
1,1502877
1,1502878
1,1502879
1,1502880
1,1488415
1,1488416
1,1488417
1,1492032
1,1492033
1,1492034
1,1495647
1,1495648
1,1495649
1,1499264
1,1499265
1,1502881
1,1488418
1,1502933
1,1502934
1,1502935
1,1506550
1,1506551
1,1506552
1,1488469
1,1488470
1,1488471
1,1492088
1,1495705
1,1499322
1,1502939
1,1506553
1,1506555
1,1506556
1,1488472
1,1488473
1,1488474
1,1488475
1,1492089
1,1492090
1,1492091
1,1492092
1,1495706
1,1495707
1,1495708
1,1495709
1,1499323
1,1499324
1,1499325
1,1499326
1,1502940
1,1502941
1,1502943
1,1506561
1,1488476
1,1492093
1,1495710
1,1495711
1,1499327
1,1499328
1,1502944
1,1502945
1,1502946
1,1506562
1,1506563
1,1488500
1,1488501
1,1488502
1,1492118
1,1492119
1,1492120
1,1492121
1,1492122
1,1495738
1,1495739
1,1499355
1,1499356
1,1495741
1,1495742
1,1495743
1,1499357
1,1499358
1,1499359
1,1499360
1,1502974
1,1502975
1,1502977
1,1499361
1,1499362
1,1499363
1,1502978
1,1502979
1,1502980
1,1502981
1,1506597
1,1506598
1,1488531
1,1488532
1,1488533
1,1488534
1,1492148
1,1492149
1,1492150
1,1492151
1,1495766
1,1495767
1,1495768
0.88,1492152
0.88,1495769
0.88,1495770
0.88,1499386
0.88,1499387
0.88,1499388
0.88,1499389
0.88,1503005
0.88,1503006
0.78,1503007
0.78,1503008
0.78,1503009
0.78,1506625
0.78,1506626
0.78,1506627
0.76,1488558
0.76,1488559
0.76,1492175
0.76,1492176
0.76,1495792
0.76,1495793
0.76,1499410
0.76,1503027
0.76,1506644
0.76,1506645
0.22,1495794
0.22,1499411
0.22,1503028
0.81,1510107
1,1510166
1,1510167
1,1510168
1,1510169
1,1513784
1,1513785
1,1513786
1,1517400
1,1517401
1,1521017
1,1521018
1,1524634
1,1524635
1,1524636
1,1510170
1,1510171
1,1510172
1,1510173
1,1513787
1,1513788
1,1510179
1,1510180
1,1510181
1,1513796
1,1513797
1,1513798
1,1517414
1,1517415
1,1521031
1,1521032
1,1524649
1,1524650
0.96,1510206
0.96,1510207
0.96,1513823
0.96,1513824
1,1510208
1,1513828
1,1517445
1,1510215
1,1513829
1,1513833
1,1517446
1,1517448
1,1517449
1,1517450
1,1521065
1,1521066
1,1521067
1,1510216
1,1513834
1,1513835
1,1513836
1,1517451
1,1517452
1,1517453
1,1517454
1,1521070
1,1521071
1,1524686
1,1524687
1,1524688
1,1521072
1,1521073
1,1521074
1,1524689
1,1524690
1,1524691
1,1524692
0.69,1510243
0.69,1510244
0.69,1510245
0.69,1513862
0.73,1513863
0.73,1513864
0.73,1517480
0.73,1517481
0.73,1517482
0.73,1517483
0.73,1521099
0.73,1521100
0.73,1521101
0.73,1524718
0.71,1517484
0.71,1521102
0.71,1524719
0.71,1524720
0.77,1510261
0.77,1510262
0.77,1513877
0.77,1513878
0.77,1513879
0.77,1517494
0.77,1517495
0.77,1521112
0.77,1524729
0.77,1524730
0.88,1521142
0.88,1521143
0.88,1524758
0.88,1524759
0.88,1524760
1,1528187
1,1531804
1,1535420
1,1535421
1,1539036
1,1539037
1,1539038
1,1542653
1,1542654
1,1542655
1,1546269
1,1546270
1,1546271
1,1546272
1,1528188
1,1528189
1,1528190
1,1531805
1,1531806
1,1531807
1,1535422
1,1535423
1,1539039
1,1542656
1,1546276
1,1546295
1,1542684
1,1542685
1,1546300
1,1546301
1,1546302
1,1542686
1,1542687
1,1546303
1,1546304
1,1546305
1,1528252
1,1528253
1,1528254
1,1531870
1,1531871
1,1535488
1,1535489
1,1539105
1,1539106
1,1542722
1,1542723
1,1546338
1,1546339
1,1546340
0.98,1528266
0.98,1528267
0.98,1531882
0.98,1531883
0.98,1531884
0.98,1535499
0.98,1535500
0.98,1539116
0.98,1539117
0.98,1542733
0.98,1542734
0.98,1546351
0.96,1528309
0.96,1531926
0.96,1531927
0.96,1535543
0.96,1535544
0.96,1539159
0.96,1539160
0.96,1539161
0.96,1542778
0.99,1528310
0.99,1542779
0.99,1542780
0.99,1546397
0.99,1546398
0.99,1546399
1,1546400
1,1546401
0.54,1528326
0.54,1531943
0.54,1535559
0.54,1535560
0.54,1539176
0.54,1539177
0.54,1542792
0.54,1542793
0.54,1542794
0.54,1546409
0.54,1546410
0.56,1528327
0.56,1528328
0.56,1528329
0.56,1528330
0.56,1531944
0.56,1531945
0.56,1531946
0.56,1531947
0.56,1535563
0.56,1535564
0.56,1535565
0.56,1539182
0.58,1535566
0.58,1535567
0.58,1535568
0.58,1539183
0.58,1539184
0.58,1539185
0.58,1539186
0.58,1542802
0.58,1542803
0.58,1546420
0.65,1528336
0.65,1528337
0.65,1528338
0.65,1531954
0.65,1531955
0.65,1531956
0.65,1535572
0.65,1535573
0.65,1539190
0.65,1542804
0.65,1542808
0.65,1546421
0.65,1546425
0.66,1535574
0.66,1539191
0.66,1542809
0.66,1546426
0.71,1528346
0.71,1528347
0.71,1531963
0.71,1531964
0.71,1531965
0.71,1535580
0.71,1535581
0.71,1535582
0.71,1539198
0.71,1539199
0.71,1542816
0.92,1528348
0.92,1539200
0.92,1542817
0.92,1542818
0.92,1542819
0.92,1546435
0.92,1546436
0.92,1546437
0.6,1528374
0.6,1528375
0.6,1528376
0.6,1528377
0.6,1531991
0.6,1531992
0.6,1531993
0.6,1531994
0.6,1535609
0.6,1535610
0.6,1535611
0.6,1539225
0.6,1539226
0.6,1539227
0.6,1539228
0.6,1539229
0.6,1542842
0.6,1542843
0.6,1542844
0.6,1546460
0.6,1546461
1,1531995
1,1535612
1,1535613
1,1535616
1,1539230
1,1539231
1,1539232
1,1539233
1,1542848
1,1542849
1,1542850
1,1546465
1,1546466
1,1546467
1,1549885
1,1553501
1,1553502
1,1557118
1,1557119
1,1560734
1,1560735
1,1560736
1,1564351
1,1564352
1,1564353
1,1567967
1,1567968
1,1567969
1,1567970
1,1549886
1,1549887
1,1549888
1,1553503
1,1553504
1,1557120
1,1549891
1,1553507
1,1553508
1,1557124
1,1557125
1,1557140
1,1560756
1,1560757
1,1564373
1,1564374
1,1567990
1,1567991
1,1549909
1,1549910
1,1553525
1,1553526
1,1553527
1,1557141
1,1557142
1,1560758
1,1564376
1,1567992
1,1567993
1,1567994
1,1549911
1,1549912
1,1549913
1,1553528
1,1553529
1,1553530
1,1553531
1,1557146
1,1557147
1,1557148
1,1564382
1,1567998
1,1567999
1,1549917
1,1549918
1,1549919
1,1553534
1,1553535
1,1553536
1,1557149
1,1557150
1,1557151
1,1560766
1,1560767
1,1564383
1,1564384
1,1568000
1,1568001
1,1549921
1,1549922
1,1553537
1,1553538
1,1553539
1,1553540
1,1557154
1,1557155
1,1557156
1,1549955
1,1549956
1,1553572
1,1553573
1,1553574
1,1557190
1,1557191
1,1560807
1,1560808
1,1564425
1,1568041
1,1568042
0.52,1553575
0.52,1557192
0.52,1560809
1,1549967
1,1549968
1,1553585
1,1557201
1,1557202
1,1560818
1,1560819
1,1564435
1,1564436
1,1568052
1,1568053
0.85,1550014
0.85,1550015
0.85,1550016
0.84,1550017
0.84,1550018
0.84,1550019
0.84,1553635
0.84,1553636
0.84,1557253
0.84,1557254
0.84,1560870
0.84,1560871
0.84,1564487
0.84,1564488
0.84,1568105
0.84,1568106
0.54,1550026
0.54,1550027
0.54,1553643
0.54,1553644
0.54,1557260
0.54,1560877
0.54,1560878
0.54,1560879
0.54,1564494
0.54,1564495
0.54,1564496
0.54,1564497
0.54,1564498
0.54,1568114
0.54,1568115
0.56,1568116
0.61,1550037
0.61,1550038
0.61,1553655
0.63,1550039
0.63,1550042
0.63,1553656
0.63,1553657
0.63,1553658
0.63,1553659
0.63,1557273
0.63,1557274
0.63,1557275
0.63,1557276
0.63,1553667
0.63,1557285
0.7,1550053
0.7,1550054
0.7,1550055
0.7,1553668
0.7,1553669
0.7,1553670
0.7,1553671
0.7,1553672
0.7,1557286
0.7,1557287
0.7,1557288
0.7,1557289
0.7,1560903
0.7,1560904
0.7,1560905
0.7,1560906
0.7,1564520
0.7,1564521
0.7,1564522
0.7,1564523
0.7,1568139
0.7,1568140
1,1560907
1,1560908
1,1564524
1,1564525
1,1568141
1,1568142
1,1568143
1,1550077
1,1550078
1,1550079
1,1553695
1,1553696
1,1553697
1,1557313
1,1557314
1,1560931
1,1560932
1,1564548
1,1564549
1,1568166
1,1550083
1,1550084
1,1553701
1,1564550
1,1568167
1,1568168
0.01,1550085
0.01,1550086
0.01,1550087
0.01,1550088
0.01,1550089
0.01,1553702
0.01,1553703
0.01,1553704
0.01,1553705
0.01,1553706
1,1571584
1,1571585
1,1571586
1,1575201
1,1575202
1,1575203
1,1578819
1,1578820
1,1582436
1,1582437
1,1582438
1,1586053
1,1586054
1,1586055
1,1582449
1,1582450
1,1586066
1,1586067
1,1582451
1,1582452
1,1586068
1,1586069
1,1586070
1,1571607
1,1571608
1,1571609
1,1571610
1,1571611
1,1575227
1,1575228
1,1575229
1,1578845
1,1578846
1,1582463
1,1586080
1,1571615
1,1571616
1,1575230
1,1575231
1,1575232
1,1575233
1,1578847
1,1578848
1,1582464
1,1586081
1,1571658
1,1571659
1,1575275
1,1575276
1,1578891
1,1578892
1,1578893
1,1582508
1,1582509
1,1582510
1,1586125
1,1586126
1,1586127
1,1578898
1,1582511
1,1582515
1,1586128
1,1586132
1,1578899
1,1578900
1,1578901
1,1582516
1,1582517
1,1582518
1,1582519
1,1586133
1,1586134
1,1586135
1,1586136
1,1571669
1,1571670
1,1575286
1,1575287
1,1578903
1,1578904
1,1582520
1,1582521
1,1586137
0.85,1571723
0.85,1575340
0.85,1582575
0.85,1586192
0.86,1571724
0.86,1575341
0.86,1578958
0.86,1582576
0.86,1586193
0.58,1571733
0.58,1571734
0.58,1575350
0.58,1575351
0.58,1578967
0.58,1578968
0.58,1582585
0.58,1586202
0.58,1586203
0.58,1571756
0.58,1571757
0.58,1575374
0.58,1575375
0.57,1571758
0.57,1571759
0.57,1571760
0.57,1575376
0.57,1575377
0.57,1575378
0.57,1578993
0.57,1578994
0.57,1578995
0.57,1578996
0.57,1582610
0.57,1582611
0.57,1582613
0.94,1582614
0.94,1586231
0.94,1586232
0.94,1586233
0.94,1586234
0.99,1586235
0.99,1586236
1,1575400
1,1579016
1,1579017
1,1582634
1,1586252
1,1571784
1,1571785
1,1571786
1,1575401
1,1575402
1,1575403
1,1575404
1,1579018
1,1579019
1,1579020
1,1579021
1,1579022
1,1582635
1,1582636
1,1582637
1,1582638
1,1582639
1,1586253
1,1586254
1,1586255
1,1586256
0.77,1571792
0.77,1575408
0.77,1575409
0.77,1579023
0.77,1579024
0.77,1579025
0.77,1579026
0.77,1582640
0.77,1582641
0.77,1582642
0.77,1582643
0.77,1586257
0.77,1586258
0.77,1586259
0.77,1586260
0.75,1571793
0.75,1575410
0.75,1575411
0.75,1575412
0.75,1579027
0.75,1586261
0.75,1586262
1,1571800
1,1586265
1,1571801
1,1579038
1,1579039
1,1571809
1,1575425
1,1575426
1,1579042
1,1579043
1,1582659
1,1582660
1,1586276
1,1586277
1,1571810
1,1571811
1,1571812
1,1571813
1,1575427
1,1575428
1,1575429
1,1575430
1,1579044
1,1579045
1,1579046
1,1579047
1,1582662
1,1582663
1,1586278
1,1586279
1,1586282
1,1571814
1,1571815
1,1571816
1,1575431
1,1575432
1,1575433
1,1579048
1,1579049
1,1579050
1,1582665
1,1582666
1,1582667
1,1582668
1,1586283
1,1586284
1,1586285
1,1589671
1,1589672
1,1593288
1,1593289
1,1604140
1,1607755
1,1607756
1,1607757
1,1589673
1,1593290
1,1593291
1,1596907
1,1596908
1,1596909
1,1600524
1,1600525
1,1600526
1,1604141
1,1604142
1,1589682
1,1589683
1,1593299
1,1593300
1,1593301
1,1596916
1,1596917
1,1596918
1,1596919
1,1600535
1,1600536
1,1604152
1,1604153
1,1607769
1,1607770
0.99,1589685
0.99,1589686
0.99,1589687
0.99,1593302
0.99,1593303
0.99,1600537
0.99,1604154
0.15,1596928
0.15,1600545
0.15,1604162
1,1589743
1,1589744
1,1593361
1,1593362
1,1589745
1,1589746
1,1589749
1,1593363
1,1593364
1,1593365
1,1593366
1,1596980
1,1596981
1,1596982
1,1589750
1,1593367
0.87,1597019
0.87,1597020
0.87,1600636
0.87,1600637
0.87,1604253
0.87,1604254
0.81,1604263
0.81,1604264
0.81,1607880
0.81,1607881
0.82,1604265
0.82,1604266
0.82,1604267
0.82,1604268
0.82,1604269
0.82,1607882
0.82,1607883
0.82,1607884
0.82,1607885
0.82,1607886
0.85,1593419
0.85,1593420
0.85,1597036
0.85,1597037
0.85,1600653
0.85,1600654
0.85,1604270
0.85,1607887
0.88,1597043
0.88,1600659
0.88,1600660
0.88,1604276
0.88,1604277
0.88,1607893
0.88,1607894
0.81,1589810
0.81,1589811
0.81,1593427
0.81,1593428
0.81,1597044
0.81,1597045
0.81,1600661
0.81,1600662
0.59,1593432
0.59,1593433
0.59,1593434
0.59,1597048
0.59,1597049
0.59,1597050
0.59,1600665
0.59,1600666
0.59,1604282
0.59,1604283
0.59,1607900
0.61,1589819
0.61,1589820
0.61,1593435
0.61,1593436
0.61,1593437
0.55,1589849
0.55,1589850
0.55,1589851
0.55,1589852
0.55,1593466
0.55,1593467
0.55,1593468
0.55,1593469
0.55,1597083
0.55,1597084
0.55,1597085
0.55,1600700
0.55,1600701
0.55,1600702
0.55,1600703
0.55,1604317
0.55,1604318
0.55,1604319
0.55,1604320
0.55,1607934
0.55,1607935
0.55,1607936
0.55,1607937
0.94,1589853
0.94,1593470
0.94,1593471
0.94,1604321
0.94,1607938
0.94,1607939
0.94,1607941
1,1589869
1,1593483
1,1593484
1,1593485
1,1593486
1,1597100
1,1597101
1,1597102
1,1597103
1,1589870
1,1589871
1,1589872
1,1589873
1,1593487
1,1593488
1,1593490
1,1597104
1,1597105
1,1597106
1,1600721
1,1600722
1,1600723
1,1600724
1,1600725
1,1604339
1,1604340
1,1604341
1,1604342
1,1607958
1,1607959
1,1589874
1,1593491
1,1597108
1,1597109
1,1597110
1,1600727
1,1600728
1,1600729
1,1607960
1,1589881
1,1589882
1,1593498
1,1593499
1,1597115
1,1597116
1,1600730
1,1600731
1,1600732
1,1600733
1,1604348
1,1604349
1,1607965
1,1607966
1,1589883
1,1593500
1,1593501
1,1597117
1,1597118
1,1597119
1,1600734
1,1600735
1,1604359
1,1607976
1,1604360
1,1604361
1,1604362
1,1604363
1,1607977
1,1607978
1,1607979
1,1607980
1,1589896
1,1589897
1,1589898
1,1589899
1,1593515
1,1593516
1,1600749
1,1600750
1,1604364
1,1604365
1,1604366
1,1604367
1,1607981
1,1607982
1,1607983
1,1607984
