prob,cell_id
0.02,338270
0.04,345505
0.01,341888
0.01,341889
0.01,345506
0.01,345507
0.01,349123
0.01,349124
0.06,421601
0.04,421606
0.04,421607
0.03,421608
0.03,421609
0.03,421610
0.03,414376
0.03,417993
0.26,435966
0.25,435967
0.25,435968
0.25,435969
0.25,432353
0.25,432354
0.25,435970
0.25,435971
0.24,435972
0.24,435973
0.24,435974
0.24,432357
0.24,432358
0.24,432359
0.24,435975
0.24,435976
0.24,432360
0.24,435977
0.24,435978
0.24,435979
0.24,435983
0.24,435984
0.23,432367
0.23,432368
0.23,435985
0.23,435986
0.23,435987
0.23,435988
0.23,435989
0.23,435990
0.05,425219
0.05,425223
0.04,425224
0.04,425225
0.03,425226
0.03,425227
0.03,428844
0.01,439425
0.01,439426
0.01,443042
0.02,439427
0.28,450419
0.28,450420
0.27,446809
0.27,450426
0.26,446810
0.26,446811
0.26,450427
0.26,450428
0.26,450429
0.25,439577
0.25,439578
0.25,439579
0.25,443195
0.25,443196
0.25,446812
0.25,446813
0.25,446814
0.25,450430
0.25,450431
0.24,439580
0.24,439581
0.24,443197
0.24,443198
0.24,443199
0.24,446815
0.24,446816
0.24,450432
0.24,450433
0.24,450434
0.22,439582
0.22,439583
0.22,439584
0.22,443200
0.22,443201
0.22,446817
0.22,446818
0.22,446819
0.22,450435
0.22,450436
0.21,439585
0.21,439586
0.21,443202
0.21,443203
0.21,443204
0.21,446820
0.21,446821
0.21,450437
0.21,450438
0.21,450439
0.02,439587
0.02,439588
0.02,439589
0.02,443205
0.02,443206
0.02,446822
0.02,446823
0.02,450440
0.21,439590
0.21,439591
0.21,443207
0.21,443208
0.21,443209
0.21,450443
0.21,450444
0.21,439592
0.21,439593
0.21,439594
0.21,443210
0.21,443211
0.21,446827
0.21,446828
0.21,446829
0.21,450445
0.21,450446
0.22,439595
0.22,439596
0.22,443212
0.22,443213
0.22,443214
0.22,446830
0.22,450447
0.22,450448
0.22,450449
0.22,439597
0.22,439598
0.22,439599
0.22,443215
0.22,443216
0.22,446832
0.22,446833
0.22,446834
0.22,450450
0.22,450451
0.22,439600
0.22,439601
0.22,443217
0.22,443218
0.22,443219
0.22,446835
0.22,446836
0.22,450452
0.22,450453
0.22,439605
0.22,439606
0.22,443222
0.22,443223
0.22,443224
0.22,446840
0.22,446841
0.22,450457
0.22,450458
0.22,450459
0.22,439607
0.22,439608
0.22,443225
0.22,443226
0.22,446842
0.22,439609
0.22,439610
0.22,439611
0.22,443227
0.22,443228
0.22,443229
0.22,446846
0.22,450463
0.22,443230
0.22,443231
0.22,446847
0.22,446848
0.22,446849
0.22,450465
0.22,450466
0.22,446850
0.22,446851
0.22,450467
0.22,450468
0.22,450469
0.22,450470
0.22,450471
0.3,468493
0.28,468494
0.28,468496
0.27,464879
0.27,464880
0.27,464881
0.27,468497
0.27,468498
0.27,457648
0.27,457649
0.27,461264
0.27,461265
0.27,461266
0.27,464882
0.27,464883
0.27,468499
0.27,468500
0.27,468501
0.27,454034
0.27,457650
0.27,457651
0.27,461267
0.27,461268
0.27,464884
0.27,464885
0.27,464886
0.27,468502
0.27,468503
0.26,454035
0.26,454036
0.26,457653
0.26,461269
0.26,461270
0.26,461271
0.26,464887
0.26,464888
0.26,468504
0.26,468505
0.26,468506
0.26,461272
0.26,461273
0.26,461274
0.26,464889
0.26,464890
0.26,464891
0.26,468507
0.26,468508
0.25,457659
0.25,461275
0.25,461276
0.25,464892
0.25,464893
0.25,468509
0.25,468510
0.25,468511
0.24,454043
0.24,454044
0.24,457660
0.24,457661
0.24,461277
0.24,461278
0.24,461279
0.24,464894
0.24,464895
0.24,464896
0.24,468512
0.24,468513
0.23,454045
0.23,454046
0.23,457662
0.23,457663
0.23,457664
0.23,461280
0.23,461281
0.23,464897
0.23,464898
0.23,464899
0.23,468514
0.23,468515
0.23,468516
0.22,454047
0.22,454048
0.22,454049
0.22,457665
0.22,457666
0.22,461282
0.22,461283
0.22,461284
0.22,464900
0.22,464901
0.13,454050
0.13,454051
0.13,457667
0.13,457668
0.13,457669
0.13,461285
0.13,461286
0.13,464902
0.13,464903
0.13,468519
0.13,468520
0.13,468521
0.18,454060
0.18,454061
0.18,457677
0.18,457678
0.18,457679
0.18,461295
0.18,461296
0.18,464912
0.18,464913
0.17,454062
0.17,454063
0.17,457680
0.17,461297
0.19,454077
0.19,464930
0.19,464931
0.19,468549
0.19,464932
0.19,464933
0.19,464934
0.19,468550
0.19,468551
0.19,468552
0.2,454084
0.2,464935
0.2,464936
0.2,468553
0.2,468554
0.2,454085
0.2,454086
0.2,464937
0.2,464938
0.2,464939
0.2,468555
0.2,468556
0.21,454087
0.21,454088
0.21,454089
0.21,457706
0.21,461322
0.21,461323
0.21,461324
0.21,464940
0.21,454090
0.21,457707
0.21,457708
0.21,461325
0.21,468562
0.21,468564
0.21,468565
0.21,468566
0.21,468567
0.06,454145
0.06,454146
0.06,457764
0.06,454147
0.06,454148
0.06,457765
0.06,457766
0.02,468646
0.01,461412
0.01,465030
0.01,468647
0.01,468648
0.01,457795
0.01,457796
0.01,457797
0.01,461413
0.01,461414
0.01,461415
0.01,465031
0.01,465032
0.01,465033
0.01,468649
0.01,468650
0.01,468651
0.31,479340
0.31,482957
0.3,479341
0.3,479342
0.3,479343
0.3,482958
0.3,482959
0.3,482960
0.28,479344
0.28,479345
0.28,482961
0.28,482962
0.26,472112
0.26,472113
0.26,475729
0.26,475730
0.26,479346
0.26,479347
0.26,479348
0.26,482963
0.26,482964
0.26,482965
0.08,472114
0.08,472115
0.08,472116
0.08,475731
0.08,475732
0.08,475733
0.08,479349
0.08,479350
0.08,482966
0.08,482967
0.08,482968
0.06,472118
0.06,475734
0.06,475735
0.06,479351
0.06,482969
0.23,472119
0.23,472120
0.23,472121
0.23,475736
0.23,475737
0.23,475738
0.23,479354
0.23,479355
0.23,482971
0.23,482972
0.23,482973
0.23,472122
0.23,472123
0.23,475739
0.23,475740
0.23,475741
0.23,479356
0.23,479357
0.23,479358
0.23,482975
0.18,472124
0.18,472125
0.18,472126
0.18,475742
0.18,475743
0.18,479359
0.18,482976
0.18,482977
0.18,482978
0.08,472127
0.08,472128
0.08,475744
0.04,472129
0.04,472130
0.04,472131
0.04,475748
0.18,472170
0.18,472171
0.18,472172
0.18,475788
0.18,475789
0.18,479405
0.18,472173
0.18,472174
0.18,475790
0.18,475791
0.18,475792
0.18,479408
0.18,479409
0.19,472175
0.19,472176
0.19,472177
0.19,475793
0.19,475794
0.2,472178
0.2,472179
0.2,475795
0.2,475796
0.2,475797
0.2,479414
0.19,472180
0.19,472181
0.19,472182
0.19,475798
0.19,475799
0.19,479415
0.19,479416
0.19,479417
0.19,483035
0.19,472183
0.19,472184
0.19,475800
0.19,475801
0.19,475802
0.19,479418
0.19,479419
0.19,479420
0.19,483036
0.19,483037
0.19,472185
0.19,472186
0.19,472187
0.19,475803
0.19,475804
0.19,475805
0.19,479421
0.19,479422
0.19,483038
0.19,483039
0.19,483040
0.2,472188
0.2,475806
0.2,475807
0.2,479423
0.2,479424
0.2,483041
0.2,483042
0.2,483043
0.2,483044
0.07,479476
0.07,483092
0.07,483093
0.07,483094
0.06,479477
0.06,483095
0.01,479494
0.01,483110
0.01,483111
0.01,483112
0.01,472261
0.01,475877
0.01,475878
0.01,475879
0.01,479495
0.01,479496
0.01,479497
0.01,483113
0.01,483114
0.01,483115
0.33,497416
0.32,493801
0.32,497417
0.32,497418
0.32,497419
0.31,490185
0.31,490186
0.31,490187
0.31,493802
0.31,493803
0.31,493804
0.31,497420
0.31,497421
0.29,486570
0.29,486571
0.29,490188
0.29,490189
0.29,493805
0.29,497422
0.29,497423
0.29,497424
0.28,486574
0.28,486575
0.28,490191
0.28,490192
0.28,493808
0.28,493809
0.28,497425
0.28,497426
0.28,497427
0.28,486576
0.28,486577
0.28,490193
0.28,493810
0.28,493811
0.28,493812
0.28,497428
0.28,497429
0.01,486578
0.01,486579
0.01,486580
0.01,490197
0.01,493813
0.01,493814
0.01,497430
0.06,486581
0.06,486582
0.06,490198
0.06,490200
0.06,493815
0.06,493816
0.06,486583
0.06,486584
0.06,486585
0.06,490201
0.06,490202
0.13,486591
0.13,486592
0.13,490208
0.18,486658
0.18,486659
0.18,486660
0.18,490277
0.18,490278
0.18,493895
0.18,497511
0.18,497512
0.18,497513
0.18,486661
0.18,486662
0.18,486663
0.18,490279
0.18,490280
0.18,493896
0.18,486664
0.18,486665
0.18,490281
0.18,490282
0.18,490283
0.18,486666
0.18,490284
0.18,490285
0.18,493903
0.18,490286
0.18,490287
0.18,490288
0.18,493904
0.18,493905
0.18,490289
0.18,490290
0.18,490291
0.18,493907
0.18,493908
0.18,490292
0.18,493909
0.18,493910
0.18,493911
0.18,497527
0.18,497528
0.17,497529
0.17,497530
0.17,497531
0.17,497532
0.06,486709
0.05,486710
0.05,486711
0.05,486712
0.05,490328
0.05,490329
0.05,490330
0.05,493947
0.05,497563
0.05,497564
0.05,497565
0.04,486713
0.04,486714
0.04,490331
0.04,490332
0.04,493948
0.04,493949
0.04,493950
0.04,497566
0.04,497567
0.04,497568
0.03,490333
0.03,490334
0.03,490335
0.03,493951
0.03,493952
0.03,493953
0.03,497569
0.03,497570
0.03,490336
0.03,490337
0.03,493954
0.03,493955
0.03,497571
0.03,497572
0.03,497573
0.02,493956
0.02,493957
0.02,497574
0.02,497575
0.02,497576
0.01,486726
0.01,486727
0.01,490343
0.01,490344
0.01,490345
0.01,493962
0.01,493963
0.01,497581
0.31,504648
0.31,508265
0.31,511882
0.29,501032
0.29,501033
0.29,504649
0.29,504650
0.29,504651
0.29,508266
0.29,508267
0.29,508268
0.29,511883
0.29,511884
0.29,511885
0.28,501034
0.28,501035
0.28,501036
0.28,504652
0.28,504653
0.28,508269
0.28,508270
0.28,508271
0.28,511886
0.28,511887
0.28,511888
0.28,501037
0.28,501038
0.28,501039
0.28,504654
0.28,504656
0.28,508272
0.28,508273
0.28,511889
0.28,511890
0.28,501040
0.28,501041
0.28,504657
0.28,504658
0.28,504659
0.28,508274
0.28,508275
0.28,508276
0.28,511891
0.28,511892
0.28,511893
0.27,501042
0.27,501043
0.27,501044
0.27,504660
0.27,504661
0.27,508277
0.27,508278
0.27,511894
0.26,501045
0.26,501046
0.26,504662
0.26,504663
0.26,504664
0.26,508279
0.26,508280
0.26,508281
0.26,511897
0.15,501147
0.15,501148
0.15,501149
0.16,501150
0.16,501151
0.16,504767
0.16,504768
0.16,504769
0.16,508387
0.16,504770
0.16,504771
0.16,508388
0.16,508389
0.16,512007
0.15,508390
0.15,508391
0.15,512008
0.15,512009
0.15,512010
0.08,508408
0.08,512024
0.08,512025
0.08,512026
0.06,508409
0.06,508410
0.06,508411
0.06,512027
0.06,512028
0.04,504794
0.04,504795
0.04,508412
0.04,508413
0.04,512029
0.04,512030
0.04,512031
0.03,501179
0.03,501180
0.03,504796
0.03,504797
0.03,504798
0.03,508414
0.03,508415
0.03,508416
0.03,512032
0.03,512033
0.03,512034
0.01,501181
0.01,501182
0.01,501183
0.01,504799
0.01,504800
0.01,504801
0.01,508417
0.01,508418
0.01,512035
0.01,512036
0.01,501184
0.01,501185
0.01,501186
0.01,504802
0.01,504803
0.01,508419
0.01,508420
0.01,508421
0.01,512037
0.01,512038
0.01,512039
0.01,501187
0.01,501188
0.01,504804
0.01,504805
0.01,504806
0.01,508422
0.01,508423
0.01,508424
0.01,512040
0.01,512041
0.01,512042
0.01,501189
0.01,501190
0.01,501191
0.01,504807
0.01,504808
0.01,504809
0.01,508425
0.01,508426
0.01,512043
0.01,512044
0.01,501192
0.01,501193
0.01,504810
0.01,504811
0.01,508427
0.01,508428
0.01,508429
0.01,512045
0.01,512046
0.01,512047
0.32,529960
0.32,529961
0.31,519112
0.31,522728
0.31,522729
0.31,526344
0.31,526345
0.31,526346
0.31,529962
0.31,529963
0.31,519113
0.31,519114
0.31,522730
0.31,522731
0.31,522732
0.31,526347
0.31,526348
0.31,526349
0.31,529964
0.31,529965
0.31,529966
0.3,515498
0.3,515499
0.3,515500
0.3,519115
0.3,519116
0.3,519117
0.3,522733
0.3,522734
0.3,526350
0.3,526351
0.3,526352
0.29,515501
0.29,515502
0.29,519118
0.29,519119
0.29,519120
0.29,522735
0.29,522736
0.29,522737
0.29,526353
0.29,526354
0.29,529971
0.29,515503
0.29,515504
0.29,515505
0.29,519121
0.29,519122
0.29,522738
0.29,522739
0.29,522740
0.29,526356
0.29,526357
0.29,529972
0.29,529973
0.29,529974
0.28,515506
0.28,515507
0.28,515508
0.28,519123
0.28,519124
0.28,519125
0.28,522741
0.28,522742
0.28,526358
0.28,526359
0.28,526360
0.28,529975
0.28,529976
0.28,529977
0.27,515509
0.27,515510
0.27,519126
0.27,519127
0.27,519128
0.27,522743
0.27,522744
0.27,522745
0.27,526361
0.27,526362
0.27,529978
0.27,529979
0.27,529980
0.16,515511
0.16,515512
0.16,515513
0.16,519129
0.16,519130
0.16,522746
0.16,522747
0.16,526363
0.16,526364
0.16,529981
0.25,515514
0.25,515515
0.25,515516
0.25,519131
0.25,519132
0.25,519133
0.25,522749
0.25,522750
0.25,526367
0.13,515626
0.13,515627
0.13,519245
0.12,515628
0.12,515629
0.12,515630
0.12,519246
0.12,519247
0.12,519248
0.12,522865
0.11,519249
0.11,522866
0.11,522867
0.11,522868
0.11,526485
0.11,526486
0.1,522869
0.1,522870
0.1,522871
0.1,526487
0.1,526488
0.1,530105
0.1,530106
0.08,522872
0.08,526489
0.08,526490
0.08,526491
0.08,530107
0.08,530108
0.08,530109
0.07,515641
0.07,526492
0.07,526493
0.07,526494
0.07,530110
0.07,530111
0.07,530112
0.06,515642
0.06,515643
0.06,519259
0.06,519260
0.06,519261
0.06,522877
0.06,522878
0.06,522879
0.06,526495
0.06,526496
0.06,526497
0.06,530113
0.06,530114
0.04,515644
0.04,515645
0.04,515646
0.04,519262
0.04,519263
0.04,519264
0.04,522880
0.04,522881
0.04,522882
0.04,526498
0.04,526499
0.04,530115
0.04,530116
0.04,530117
0.02,515647
0.02,515648
0.02,515649
0.02,519265
0.02,519266
0.02,522883
0.02,522884
0.02,526500
0.02,526501
0.02,526502
0.02,530118
0.02,530119
0.02,530120
0.01,515650
0.01,515651
0.01,519267
0.01,519268
0.01,519269
0.01,522885
0.01,522886
0.01,522887
0.01,526503
0.01,526504
0.01,526505
0.01,530121
0.01,530122
0.34,544424
0.33,540810
0.33,544425
0.33,544426
0.32,533577
0.32,533578
0.32,537193
0.32,537194
0.32,537195
0.32,540811
0.32,540812
0.32,533579
0.32,533580
0.32,537196
0.32,540821
0.32,544437
0.32,544438
0.31,533587
0.31,533588
0.31,533589
0.31,537204
0.31,537205
0.31,537206
0.31,540822
0.31,540823
0.31,544439
0.31,544440
0.31,544441
0.05,533590
0.05,533591
0.05,537207
0.05,537208
0.05,537209
0.05,540824
0.05,540825
0.05,540826
0.05,544442
0.05,544443
0.05,533725
0.05,533726
0.05,533727
0.05,537344
0.04,533728
0.04,533729
0.04,537345
0.04,537346
0.04,537347
0.04,540965
0.03,533730
0.03,533731
0.03,533732
0.03,537348
0.03,537349
0.03,537350
0.03,540966
0.03,540967
0.03,544583
0.03,544584
0.03,544585
0.02,533733
0.02,533734
0.02,533735
0.02,537351
0.02,537352
0.02,540968
0.02,540969
0.02,540970
0.36,548041
0.36,551658
0.35,548042
0.35,548043
0.34,551667
0.34,558901
0.33,548052
0.33,551669
0.33,551670
0.33,555286
0.33,555287
0.33,558902
0.33,558903
0.33,558904
0.31,548053
0.31,548054
0.31,548055
0.31,551671
0.31,551672
0.31,555288
0.31,555289
0.31,555290
0.31,558905
0.31,558906
0.31,558907
0.3,548056
0.3,548057
0.3,548058
0.3,551673
0.3,551674
0.3,551675
0.3,555291
0.3,555292
0.3,558908
0.3,558910
0.01,548059
0.01,551676
0.01,551678
0.01,555293
0.01,555294
0.01,555295
0.01,558912
0.01,548201
0.01,548202
0.01,551819
0.01,551820
0.01,551821
0.01,555437
0.01,555438
0.01,559056
0.17,573166
0.17,576782
0.17,576783
0.16,573167
0.16,573168
0.16,573169
0.16,576784
0.16,576785
0.16,576786
0.16,576787
0.16,576789
